#TLD,TYPE
lipsy,generic
live,generic
living,generic
lixil,generic
lk,country-code
llc,generic
llp,generic
loan,generic
loans,generic
locker,generic
locus,generic
loft,generic
lol,generic
london,generic
lotte,generic
lotto,generic
love,generic
lpl,generic
lplfinancial,generic
lr,country-code
ls,country-code
lt,country-code
ltd,generic
ltda,generic
lu,country-code
lundbeck,generic
lupin,generic
luxe,generic
luxury,generic
lv,country-code
ly,country-code
ma,country-code
macys,generic
madrid,generic
maif,generic
maison,generic
makeup,generic
man,generic
management,generic
mango,generic
map,generic
market,generic
marketing,generic
markets,generic
marriott,generic
marshalls,generic
maserati,generic
mattel,generic
mba,generic
mc,country-code
mcd,generic
mcdonalds,generic
mckinsey,generic
md,country-code
me,country-code
med,generic
media,generic
meet,generic
melbourne,generic
meme,generic
memorial,generic
men,generic
menu,generic
meo,generic
merckmsd,generic
metlife,generic
mf,country-code
mg,country-code
mh,country-code
miami,generic
microsoft,generic
mil,sponsored
mini,generic
mint,generic
mit,generic
mitsubishi,generic
mk,country-code
ml,country-code
mlb,generic
mls,generic
mm,country-code
mma,generic
mn,country-code
mo,country-code
mobi,generic
mobile,generic
mobily,generic
moda,generic
moe,generic
moi,generic
mom,generic
monash,generic
money,generic
monster,generic
montblanc,generic
mopar,generic
mormon,generic
mortgage,generic
moscow,generic
moto,generic
motorcycles,generic
mov,generic
movie,generic
movistar,generic
mp,country-code
mq,country-code
mr,country-code
ms,country-code
msd,generic
mt,country-code
mtn,generic
mtpc,generic
mtr,generic
mu,country-code
museum,sponsored
mutual,generic
mutuelle,generic
mv,country-code
mw,country-code
mx,country-code
my,country-code
mz,country-code
na,country-code
nab,generic
nadex,generic
nagoya,generic
name,generic-restricted
nationwide,generic
natura,generic
navy,generic
nba,generic
nc,country-code
ne,country-code
nec,generic
net,generic
netbank,generic
netflix,generic
network,generic
neustar,generic
new,generic
newholland,generic
news,generic
next,generic
nextdirect,generic
nexus,generic
nf,country-code
nfl,generic
ng,country-code
ngo,generic
nhk,generic
ni,country-code
nico,generic
nike,generic
nikon,generic
ninja,generic
nissan,generic
nissay,generic
nl,country-code
no,country-code
nokia,generic
northwesternmutual,generic
norton,generic
now,generic
nowruz,generic
nowtv,generic
np,country-code
nr,country-code
nra,generic
nrw,generic
ntt,generic
nu,country-code
nyc,generic
nz,country-code
obi,generic
observer,generic
off,generic
office,generic
okinawa,generic
olayan,generic
olayangroup,generic
oldnavy,generic
ollo,generic
om,country-code
omega,generic
one,generic
ong,generic
onl,generic
online,generic
onyourside,generic
ooo,generic
open,generic
oracle,generic
orange,generic
org,generic
organic,generic
orientexpress,generic
origins,generic
osaka,generic
otsuka,generic
ott,generic
ovh,generic
pa,country-code
page,generic
